Shipment_ID,Order_ID,Customer_ID,Tracking_Number,Shipment_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Shipping_Method,Origin_Country,Origin_City,Destination_Country,Destination_City,Weight_KG,Volume_CBM,Number_of_Packages,Shipping_Cost_USD,Customs_Value_USD,Customs_Duty_USD,Insurance_Value_USD,Total_Logistics_Cost_USD,Transit_Days_Estimated,Delay_Days,Carrier_Name,Handler_Employee_ID,Temperature_Controlled,Hazardous_Materials
SHP-0002108,ORD-0002108,CUST-00589,TRK-722298102,12/13/2024,12/14/2024,12/16/2024,Delivered,Air Freight,Kuwait,Jahra,Kuwait,Hawalli,20900.62,189.3535,50,245827.92,8887886.06,0,74707.63,320535.55,1,2,Evergreen Gulf Services,EMP-00217,Yes,No
SHP-0002109,ORD-0002109,CUST-00053,TRK-616383309,1/20/2022,1/25/2022,11/16/2022,In Transit,Rail Freight,Saudi Arabia,Jeddah,Bahrain,Muharraq,34360.76,2305.1166,13,99541.58,1055819.44,10783.81,6042.47,116367.86,5,0,Kanoo Shipping,EMP-00095,Yes,No
SHP-0002110,ORD-0002110,CUST-00266,TRK-687792875,5/8/2025,5/20/2025,11/16/2022,At Customs,Sea Freight,Bahrain,Hamad Town,Saudi Arabia,Riyadh,11572.26,979.7058,50,18112.16,298178.31,36934.09,1308.89,56355.14,12,0,Agility Logistics,EMP-00287,Yes,Yes
SHP-0002111,ORD-0002111,CUST-00937,TRK-633311814,10/10/2022,10/14/2022,10/17/2022,Delivered,Air Freight,Bahrain,Isa Town,Kuwait,Ahmadi,25955.08,317.6286,23,129515.28,5485234.94,821242.35,50188.92,1000946.55,4,3,MSC Arabian,EMP-00229,Yes,Yes
SHP-0002112,ORD-0002112,CUST-00486,TRK-281995575,7/25/2025,7/27/2025,8/1/2025,Delivered,Air Freight,Kuwait,Salmiya,Qatar,Doha,20188.98,2012.5342,89,156799.1,5498388.11,735729.63,52608.81,945137.54,2,5,Hapag-Lloyd Gulf,EMP-00246,Yes,Yes
SHP-0002113,ORD-0002113,CUST-00846,TRK-384203283,7/25/2020,8/6/2020,8/4/2020,Delivered,Sea Freight,Oman,Sohar,Kuwait,Ahmadi,29981,142.6353,4,25673.27,250776.3,11442.86,626.58,37742.71,12,0,Maersk Gulf,EMP-00287,No,No
SHP-0002114,ORD-0002114,CUST-01106,TRK-619190911,12/13/2020,12/21/2020,11/16/2022,In Transit,Sea Freight,Oman,Salalah,Saudi Arabia,Jeddah,33052.67,790.5865,25,73179.03,1011319.3,84079.86,1305.39,158564.28,8,0,Kanoo Shipping,EMP-00117,Yes,Yes
SHP-0002115,ORD-0002115,CUST-00532,TRK-758077816,8/11/2023,8/19/2023,11/16/2022,In Transit,Road Transport,Qatar,Lusail,Saudi Arabia,Jubail,33033.36,764.0519,94,140855.1,889080.78,114789.24,7811.18,263455.52,8,0,GAC Logistics,EMP-00205,Yes,No
SHP-0002116,ORD-0002116,CUST-01173,TRK-303225974,7/8/2021,7/19/2021,7/22/2021,Delivered,Sea Freight,Saudi Arabia,Jeddah,UAE,Ras Al Khaimah,4905.39,87.4056,70,8539.83,350721.87,51824.36,3328.62,63692.81,11,3,DHL Gulf,EMP-00287,Yes,Yes
SHP-0002117,ORD-0002117,CUST-00470,TRK-434420456,9/28/2021,9/30/2021,11/16/2022,In Transit,Express Courier,UAE,Abu Dhabi,Saudi Arabia,Riyadh,6060.26,178.3095,45,140295.42,5352271.7,439921.22,44257.01,624473.65,2,0,Desert Express Logistics,EMP-00287,No,Yes
SHP-0002118,ORD-0002118,CUST-01079,TRK-605070094,7/2/2024,7/5/2024,11/16/2022,In Transit,Express Courier,Qatar,Lusail,Saudi Arabia,Jeddah,46825.1,3055.0729,31,548180.07,1778149.96,222350.77,4798.84,775329.68,3,0,Kanoo Shipping,EMP-00149,Yes,No
SHP-0002119,ORD-0002119,CUST-00353,TRK-991929253,6/14/2022,6/18/2022,6/19/2022,Delivered,Road Transport,Kuwait,Jahra,Kuwait,Jahra,15468.08,1498.8061,26,27820.88,151836.09,0,1292.8,29113.68,4,1,Maersk Gulf,EMP-00059,No,No
SHP-0002120,ORD-0002120,CUST-01054,TRK-520760571,1/5/2019,1/7/2019,1/5/2019,Delivered,Air Freight,UAE,Sharjah,UAE,Fujairah,21755.42,1369.5545,15,190750.55,4420646.45,0,31734.7,222485.25,2,0,GAC Logistics,EMP-00286,No,No
SHP-0002121,ORD-0002121,CUST-00257,TRK-644176426,10/17/2021,10/25/2021,10/23/2021,Delivered,Sea Freight,Qatar,Al Rayyan,Bahrain,Riffa,29759.06,1915.958,88,36492.97,274677.28,29963.57,2577.53,69034.07,8,0,Hapag-Lloyd Gulf,EMP-00281,Yes,No
SHP-0002122,ORD-0002122,CUST-00090,TRK-241060796,3/16/2021,3/17/2021,3/16/2021,Delivered,Express Courier,Qatar,Doha,Oman,Salalah,23857.07,786.1052,91,139549.82,2192058.28,123038.55,12277.62,274865.99,1,0,Gulf Logistics Partners,EMP-00059,Yes,Yes
SHP-0002123,ORD-0002123,CUST-01244,TRK-300838313,7/10/2023,7/17/2023,11/16/2022,In Transit,Air Freight,Bahrain,Riffa,Kuwait,Salmiya,1290.28,39.0814,17,13305.75,302760.12,10977.94,310.04,24593.73,7,0,COSCO Shipping Gulf,EMP-00286,No,No
SHP-0002124,ORD-0002124,CUST-00736,TRK-713219625,2/14/2024,2/19/2024,2/21/2024,Delivered,Sea Freight,Kuwait,Kuwait City,Kuwait,Jahra,26361.77,132.2661,50,38950.35,750368.49,0,6248.34,45198.69,5,2,Middle East Freight Solutions,EMP-00288,No,Yes
SHP-0002125,ORD-0002125,CUST-00042,TRK-736856112,10/9/2024,10/16/2024,10/21/2024,Delivered,Air Freight,Bahrain,Manama,Saudi Arabia,Mecca,35097.48,2704.5301,56,371657.98,17701378.58,1046984.34,145407.83,1564050.15,7,5,Maersk Gulf,EMP-00281,Yes,No
SHP-0002126,ORD-0002126,CUST-00746,TRK-101175917,11/12/2019,11/17/2019,11/16/2022,In Transit,Road Transport,Qatar,Al Khor,Qatar,Al Rayyan,8733.63,741.3645,62,26444.55,1194492.33,0,1852.01,28296.56,5,0,UPS Arabia,EMP-00179,No,No
SHP-0002127,ORD-0002127,CUST-00035,TRK-395726670,6/23/2024,6/24/2024,11/16/2022,At Warehouse,Express Courier,Qatar,Al Wakrah,Kuwait,Ahmadi,28402.69,2711.8018,34,165163.62,3162130.56,337730.9,20991.85,523886.37,1,0,Gulf Logistics Partners,EMP-00090,No,Yes
SHP-0002128,ORD-0002128,CUST-01206,TRK-451004440,3/8/2019,3/10/2019,11/16/2022,Out for Delivery,Sea Freight,Saudi Arabia,Mecca,Saudi Arabia,Jeddah,42550.17,1496.4416,75,70728.06,1770333.99,0,11538.27,82266.33,2,0,Pearl Harbor Freight,EMP-00198,Yes,Yes
SHP-0002129,ORD-0002129,CUST-01344,TRK-582503713,8/15/2019,8/19/2019,8/23/2019,Delivered,Air Freight,Oman,Muscat,UAE,Fujairah,35722.33,2617.5319,34,227231.19,4990612.82,501205.58,48326.48,776763.25,4,4,Agility Logistics,EMP-00095,No,Yes
SHP-0002130,ORD-0002130,CUST-01347,TRK-866267425,3/26/2025,4/2/2025,11/16/2022,At Warehouse,Air Freight,Saudi Arabia,Khobar,Qatar,Doha,23870.61,2151.6101,97,169582.73,8083739.35,269427.65,69070.8,508081.18,7,0,Maersk Gulf,EMP-00287,Yes,No
SHP-0002131,ORD-0002131,CUST-00850,TRK-277402434,12/21/2022,12/27/2022,11/16/2022,At Customs,Sea Freight,Kuwait,Kuwait City,Kuwait,Ahmadi,43806.15,538.3764,44,66631.02,2802074.15,0,11113.17,77744.19,6,0,Aramex,EMP-00217,Yes,No
SHP-0002132,ORD-0002132,CUST-01498,TRK-503830453,4/26/2020,5/4/2020,5/8/2020,Delivered,Sea Freight,Saudi Arabia,Dammam,UAE,Dubai,8712.8,416.9776,17,17584.92,382255.8,51756,2694.96,72035.88,8,4,Middle East Freight Solutions,EMP-00095,No,No
SHP-0002133,ORD-0002133,CUST-00455,TRK-786914618,8/12/2020,8/14/2020,8/16/2020,Delivered,Air Freight,UAE,Dubai,Bahrain,Muharraq,16676.9,259.8053,19,108904.03,234580.92,6506.88,1828.08,117238.99,2,2,Evergreen Gulf Services,EMP-00205,Yes,Yes
SHP-0002134,ORD-0002134,CUST-01225,TRK-162352294,4/27/2024,5/1/2024,11/16/2022,Delayed,Air Freight,Kuwait,Jahra,Saudi Arabia,Taif,22765.31,1853.6129,96,223150.3,5567276.11,800343.07,48823.85,1072317.22,4,29,Agility Logistics,EMP-00255,No,Yes
SHP-0002135,ORD-0002135,CUST-00904,TRK-303530737,8/22/2023,8/26/2023,8/26/2023,Delivered,Road Transport,Saudi Arabia,Jubail,Oman,Sohar,47419.56,4180.7171,82,236560.49,7949069.01,930435.85,12157.35,1179153.69,4,0,CMA CGM Middle East,EMP-00217,No,Yes
SHP-0002136,ORD-0002136,CUST-01054,TRK-655367572,7/28/2021,8/2/2021,8/3/2021,Delivered,Express Courier,Bahrain,Isa Town,UAE,Fujairah,578.88,49.6399,90,8775.75,374547.04,6574.73,2151,17501.48,5,1,Aramex,EMP-00080,No,Yes
SHP-0002137,ORD-0002137,CUST-00200,TRK-931145188,6/28/2023,6/30/2023,11/16/2022,In Transit,Air Freight,Saudi Arabia,Dammam,Qatar,Al Wakrah,23302.59,2016.0703,10,160867.67,243641.57,10160.56,738.43,171766.66,2,0,CMA CGM Middle East,EMP-00298,No,Yes
SHP-0002138,ORD-0002138,CUST-01394,TRK-516876666,10/10/2024,10/13/2024,10/15/2024,Delivered,Road Transport,UAE,Ajman,UAE,Ras Al Khaimah,38809.01,3316.4603,34,49234.09,2371221.93,0,5059.01,54293.1,3,2,Agility Logistics,EMP-00217,No,No
SHP-0002139,ORD-0002139,CUST-00523,TRK-362247188,12/26/2021,1/1/2022,11/16/2022,Out for Delivery,Air Freight,Kuwait,Hawalli,Qatar,Al Wakrah,11157.22,1082.1428,43,50354.01,1695386.88,109835.08,12974.4,173163.49,6,0,GAC Logistics,EMP-00169,Yes,Yes
SHP-0002140,ORD-0002140,CUST-01435,TRK-493110637,10/19/2021,10/21/2021,11/16/2022,In Transit,Air Freight,Qatar,Doha,Saudi Arabia,Dammam,23985.61,1581.7447,34,206244.42,2400425.45,122582.73,23579.04,352406.19,2,0,FedEx Middle East,EMP-00264,Yes,Yes
SHP-0002141,ORD-0002141,CUST-01322,TRK-696173639,8/30/2020,9/8/2020,9/9/2020,Delivered,Sea Freight,Kuwait,Salmiya,UAE,Fujairah,39015.61,2029.5154,69,85686.25,3002946.13,25044.89,3422.69,114153.83,9,1,MSC Arabian,EMP-00119,No,Yes
SHP-0002142,ORD-0002142,CUST-01444,TRK-259494346,4/17/2023,4/26/2023,11/16/2022,In Transit,Sea Freight,Saudi Arabia,Jubail,UAE,Ajman,3244.65,270.1404,53,2956.71,61238.87,5115.88,471.31,8543.9,9,0,Pearl Harbor Freight,EMP-00264,No,No
SHP-0002143,ORD-0002143,CUST-00867,TRK-455981027,4/14/2022,4/22/2022,11/16/2022,At Customs,Road Transport,Saudi Arabia,Dammam,Qatar,Al Khor,44126.2,2051.0268,45,116845.76,1255366.51,150782.02,4742.96,272370.74,8,0,Hapag-Lloyd Gulf,EMP-00264,No,No
SHP-0002144,ORD-0002144,CUST-01101,TRK-275849784,1/14/2024,1/20/2024,1/21/2024,Delivered,Rail Freight,Oman,Sur,UAE,Sharjah,17716.81,1263.8917,12,55128.26,1120499.14,76336.06,1405.27,132869.59,6,1,COSCO Shipping Gulf,EMP-00246,Yes,No
SHP-0002145,ORD-0002145,CUST-00463,TRK-815927422,4/17/2023,4/23/2023,4/21/2023,Delivered,Express Courier,Oman,Sohar,UAE,Sharjah,15978.96,1185.6355,44,206130.2,2731026.81,172195.13,16505.51,394830.84,6,0,MSC Arabian,EMP-00217,Yes,Yes
SHP-0002146,ORD-0002146,CUST-00646,TRK-949569050,2/27/2021,3/5/2021,11/16/2022,In Transit,Air Freight,UAE,Abu Dhabi,Bahrain,Muharraq,16560.7,419.0218,61,92693.21,3114821.69,421205.64,22799.61,536698.46,6,0,Al Futtaim Logistics,EMP-00288,No,Yes
SHP-0002148,ORD-0002148,CUST-00590,TRK-453605461,1/6/2024,1/8/2024,11/16/2022,At Warehouse,Sea Freight,Oman,Sohar,Oman,Nizwa,26280.43,2122.5571,46,56485.42,1647034.81,0,15583.36,72068.78,2,0,Kanoo Shipping,EMP-00268,Yes,Yes
SHP-0002150,ORD-0002150,CUST-00726,TRK-773825749,4/18/2024,4/22/2024,4/23/2024,Delivered,Road Transport,Saudi Arabia,Khobar,Bahrain,Manama,13321.43,974.3421,46,37633.52,1735036.03,191875.22,9614.17,239122.91,4,1,Gulf Logistics Partners,EMP-00033,No,No
SHP-0002151,ORD-0002151,CUST-01063,TRK-873118387,1/25/2019,2/3/2019,2/4/2019,Delivered,Sea Freight,Bahrain,Manama,Saudi Arabia,Dammam,30668.2,1290.2101,52,24900.1,629416.58,62332.66,2788.62,90021.38,9,1,FedEx Middle East,EMP-00267,Yes,Yes
SHP-0002152,ORD-0002152,CUST-01321,TRK-155058593,7/31/2019,8/4/2019,11/16/2022,At Customs,Air Freight,Qatar,Al Wakrah,Bahrain,Manama,21268.85,1518.6637,36,102999.24,4887610.5,202256.31,17476.59,322732.14,4,0,GAC Logistics,EMP-00205,No,No
SHP-0002153,ORD-0002153,CUST-01283,TRK-461405328,6/21/2022,6/29/2022,7/1/2022,Delivered,Road Transport,Bahrain,Hamad Town,Saudi Arabia,Dammam,28964.28,1447.0309,40,102140.21,3578900.56,507697.81,9240.2,619078.22,8,2,Gulf Logistics Partners,EMP-00288,Yes,No
SHP-0002154,ORD-0002154,CUST-00162,TRK-805063766,8/27/2024,9/4/2024,9/4/2024,Delivered,Road Transport,Bahrain,Isa Town,Saudi Arabia,Jeddah,3973.45,390.7504,39,9740.42,354202.78,23340.79,792.8,33874.01,8,0,Maersk Gulf,EMP-00255,Yes,Yes
SHP-0002155,ORD-0002155,CUST-01425,TRK-615711477,3/2/2022,3/9/2022,11/16/2022,In Transit,Road Transport,Bahrain,Hamad Town,Saudi Arabia,Jeddah,35507.88,2259.8895,77,170876.48,1955896.1,288229.64,17339.2,476445.32,7,0,UPS Arabia,EMP-00298,Yes,Yes
SHP-0002156,ORD-0002156,CUST-00588,TRK-508135201,3/24/2024,3/30/2024,11/16/2022,At Warehouse,Air Freight,Bahrain,Manama,Saudi Arabia,Jeddah,7674.45,17.8263,41,105566.3,2964314.78,277552.86,6381.78,389500.94,6,0,Red Sea Transport,EMP-00129,No,No
SHP-0002157,ORD-0002157,CUST-01116,TRK-330274464,2/4/2025,2/8/2025,11/16/2022,At Customs,Road Transport,Bahrain,Riffa,Kuwait,Hawalli,31662.11,280.8385,23,111825.53,804080.79,14979.86,4056.91,130862.3,4,0,Pearl Harbor Freight,EMP-00198,Yes,No
SHP-0002158,ORD-0002158,CUST-00303,TRK-533755333,1/26/2024,2/4/2024,11/16/2022,Delayed,Sea Freight,Oman,Sur,Qatar,Al Rayyan,14676.66,898.5585,23,10755.23,509009.61,7977.89,4194.93,22928.05,9,3,Desert Express Logistics,EMP-00189,Yes,Yes
SHP-0002159,ORD-0002159,CUST-00241,TRK-632747397,1/4/2023,1/8/2023,1/11/2023,Delivered,Air Freight,Oman,Muscat,Qatar,Al Rayyan,34377.48,1753.4374,27,330602.96,4443722.95,195390.78,41949.82,567943.56,4,3,MSC Arabian,EMP-00117,Yes,No
SHP-0002160,ORD-0002160,CUST-01472,TRK-434627363,4/23/2023,4/24/2023,4/26/2023,Delivered,Sea Freight,Kuwait,Jahra,Kuwait,Ahmadi,12025.37,977.5345,3,25687.34,528939.62,0,2942.6,28629.94,1,2,Arabian Shipping Co.,EMP-00006,Yes,No
SHP-0002162,ORD-0002162,CUST-00554,TRK-728361640,7/17/2022,7/20/2022,11/16/2022,Lost,Express Courier,UAE,Sharjah,Saudi Arabia,Jeddah,47342.94,2489.4836,32,328541.25,7265120.73,890181.82,39341.47,1258064.54,3,0,MSC Arabian,EMP-00129,Yes,No
SHP-0002163,ORD-0002163,CUST-00131,TRK-882980330,2/4/2020,2/10/2020,2/15/2020,Delivered,Road Transport,Saudi Arabia,Khobar,UAE,Abu Dhabi,11715.83,282.7562,2,57214.72,753971.91,54358.27,1626.82,113199.81,6,5,CMA CGM Middle East,EMP-00044,No,No
SHP-0002164,ORD-0002164,CUST-00634,TRK-765258377,3/7/2021,3/15/2021,11/16/2022,Lost,Sea Freight,Oman,Nizwa,Qatar,Al Wakrah,19081.19,1689.5046,83,14801.51,591804.06,9355.89,3357.68,27515.08,8,0,Evergreen Gulf Services,EMP-00179,No,Yes
SHP-0002165,ORD-0002165,CUST-01206,TRK-402171879,4/21/2019,4/24/2019,4/29/2019,Delivered,Air Freight,Oman,Sur,Saudi Arabia,Jeddah,22999.17,738.1411,4,327111.4,8038693.03,825365.51,74362.92,1226839.83,3,5,Kanoo Shipping,EMP-00033,Yes,Yes
SHP-0002166,ORD-0002166,CUST-01106,TRK-357553102,1/2/2025,1/6/2025,11/16/2022,At Customs,Road Transport,Qatar,Al Wakrah,Saudi Arabia,Jeddah,30933.55,2616.7382,99,133520.76,1443855.29,45076.73,3606.86,182204.35,4,0,Arabian Shipping Co.,EMP-00229,Yes,No
SHP-0002167,ORD-0002167,CUST-01424,TRK-456653118,1/22/2020,1/27/2020,1/29/2020,Delivered,Express Courier,Bahrain,Riffa,Kuwait,Ahmadi,25820.37,1787.0626,19,636015.84,31294769.4,4057437.6,281973.68,4975427.12,5,2,Middle East Freight Solutions,EMP-00079,Yes,No
SHP-0002168,ORD-0002168,CUST-00529,TRK-267017300,11/13/2020,11/15/2020,11/18/2020,Delivered,Express Courier,Kuwait,Kuwait City,Saudi Arabia,Riyadh,28576.79,83.2246,92,571187.22,3017723.76,61080.35,14488.61,646756.18,2,3,Red Sea Transport,EMP-00059,Yes,No
SHP-0002169,ORD-0002169,CUST-00931,TRK-191759645,3/18/2020,3/23/2020,11/16/2022,At Warehouse,Express Courier,Kuwait,Jahra,UAE,Abu Dhabi,40506.53,2878.6917,1,963163.45,4204136.81,17088.8,34596.17,1014848.42,5,0,Arabian Shipping Co.,EMP-00217,No,Yes
SHP-0002170,ORD-0002170,CUST-00455,TRK-628817743,1/21/2019,1/28/2019,11/16/2022,Out for Delivery,Sea Freight,Saudi Arabia,Mecca,Bahrain,Muharraq,34825.62,1658.7802,55,102520.92,3115226.16,431915.46,21524.49,555960.87,7,0,Middle East Freight Solutions,EMP-00119,Yes,No
SHP-0002171,ORD-0002171,CUST-00515,TRK-136379744,11/22/2022,11/23/2022,11/16/2022,Delayed,Air Freight,Bahrain,Hamad Town,Bahrain,Hamad Town,12795.54,1229.2633,4,182918.64,821063.68,0,3216.74,186135.38,1,30,Agility Logistics,EMP-00119,No,Yes
SHP-0002172,ORD-0002172,CUST-01069,TRK-888167637,2/3/2021,2/7/2021,2/12/2021,Delivered,Road Transport,Saudi Arabia,Medina,Qatar,Al Khor,44983.01,3750.6052,38,169713.19,6533225.24,9188.83,27519.44,206421.46,4,5,UPS Arabia,EMP-00044,No,No
SHP-0002173,ORD-0002173,CUST-01465,TRK-183249510,2/16/2023,2/20/2023,2/23/2023,Delivered,Road Transport,Saudi Arabia,Jeddah,Saudi Arabia,Mecca,25437.91,115.3524,19,116298.43,4530366.29,0,22503.8,138802.23,4,3,Kanoo Shipping,EMP-00179,No,Yes
SHP-0002174,ORD-0002174,CUST-00845,TRK-656378397,2/20/2022,2/23/2022,2/26/2022,Delivered,Air Freight,Saudi Arabia,Mecca,Oman,Sohar,29093.17,1688.8891,24,112306.68,5165703.26,611420.27,35851.31,759578.26,3,3,Desert Express Logistics,EMP-00149,Yes,Yes
SHP-0002175,ORD-0002175,CUST-01477,TRK-231384034,10/14/2023,10/16/2023,10/20/2023,Delivered,Air Freight,Saudi Arabia,Riyadh,Saudi Arabia,Jeddah,40970.01,1444.232,51,461681.2,13223311.24,0,123788.05,585469.25,2,4,Al Futtaim Logistics,EMP-00148,No,No
SHP-0002176,ORD-0002176,CUST-00349,TRK-102119122,3/16/2021,3/20/2021,11/16/2022,At Customs,Express Courier,UAE,Ajman,Bahrain,Isa Town,6371.56,354.9212,96,156778.26,5842915.01,530316.49,57247.61,744342.36,4,0,Evergreen Gulf Services,EMP-00267,No,No
SHP-0002177,ORD-0002177,CUST-00964,TRK-554174084,8/31/2023,9/8/2023,9/13/2023,Delivered,Rail Freight,Kuwait,Kuwait City,UAE,Fujairah,10141.25,157.4349,38,36382.45,1285401.33,112669.18,9745.72,158797.35,8,5,Agility Logistics,EMP-00080,No,No
SHP-0002178,ORD-0002178,CUST-01118,TRK-838288311,7/9/2020,7/15/2020,11/16/2022,At Customs,Express Courier,Kuwait,Ahmadi,Oman,Nizwa,23928.09,426.319,9,267313.15,11794773.83,431395.35,86445.01,785153.51,6,0,UPS Arabia,EMP-00044,Yes,Yes
SHP-0002179,ORD-0002179,CUST-00104,TRK-867822355,6/12/2023,6/23/2023,11/16/2022,In Transit,Sea Freight,Bahrain,Hamad Town,Kuwait,Jahra,16123.5,669.1468,79,37969.42,277839.77,34933.14,1530.31,74432.87,11,0,GAC Logistics,EMP-00264,No,No
SHP-0002180,ORD-0002180,CUST-00818,TRK-386191769,9/20/2022,9/28/2022,9/27/2022,Delivered,Sea Freight,Oman,Muscat,Qatar,Al Wakrah,24085.98,548.6113,34,52106.12,1731663.23,212177.41,11482.63,275766.16,8,0,Evergreen Gulf Services,EMP-00217,No,Yes
SHP-0002181,ORD-0002181,CUST-00150,TRK-356491135,6/23/2019,7/4/2019,7/7/2019,Delivered,Sea Freight,Oman,Muscat,Saudi Arabia,Khobar,6730.09,379.013,74,17066.54,583948.77,82163.55,2608.63,101838.72,11,3,Gulf Logistics Partners,EMP-00119,No,No
SHP-0002182,ORD-0002182,CUST-00458,TRK-938944586,2/4/2023,2/11/2023,11/16/2022,In Transit,Road Transport,Oman,Muscat,Qatar,Lusail,17868.12,670.5025,56,44308.28,1753526.38,178849.34,4950.79,228108.41,7,0,FedEx Middle East,EMP-00268,Yes,No
SHP-0002183,ORD-0002183,CUST-00950,TRK-521488870,2/1/2021,2/9/2021,2/11/2021,Delivered,Road Transport,Oman,Muscat,Saudi Arabia,Dammam,17708.04,679.2169,28,68264.72,2403377.57,354176.8,12868.22,435309.74,8,2,MSC Arabian,EMP-00281,Yes,Yes
SHP-0002184,ORD-0002184,CUST-00881,TRK-843398757,5/24/2019,6/1/2019,6/2/2019,Delivered,Sea Freight,UAE,Abu Dhabi,Kuwait,Ahmadi,39965.85,2947.9975,56,57949.47,1014332.76,1909.16,7770.73,67629.36,8,1,Maersk Gulf,EMP-00255,No,No
SHP-0002185,ORD-0002185,CUST-01127,TRK-145805077,11/21/2021,12/3/2021,11/16/2022,Returned to Sender,Sea Freight,Qatar,Doha,Saudi Arabia,Medina,48117.62,2675.1362,11,93217.85,3181744.39,171778.6,15769.51,280765.96,12,0,Aramex,EMP-00298,Yes,No
SHP-0002186,ORD-0002186,CUST-01149,TRK-158601837,10/26/2020,11/1/2020,11/16/2022,In Transit,Air Freight,Kuwait,Ahmadi,Kuwait,Hawalli,30191.07,658.9725,22,194986.69,8666598.51,0,32878.18,227864.87,6,0,Kanoo Shipping,EMP-00267,No,Yes
SHP-0002187,ORD-0002187,CUST-00578,TRK-249645323,3/13/2025,3/15/2025,3/15/2025,Delivered,Express Courier,Bahrain,Riffa,UAE,Ras Al Khaimah,2984.37,14.1229,1,17095.73,302063.44,37482.39,2470.29,57048.41,2,0,COSCO Shipping Gulf,EMP-00032,No,No
SHP-0002188,ORD-0002188,CUST-01499,TRK-749909992,4/24/2019,5/3/2019,11/16/2022,At Warehouse,Sea Freight,Saudi Arabia,Dammam,UAE,Abu Dhabi,43568.83,4292.2766,32,71291.93,227405.99,26027.55,2085.75,99405.23,9,0,Al Futtaim Logistics,EMP-00255,Yes,No
SHP-0002189,ORD-0002189,CUST-01244,TRK-551579384,10/27/2023,11/5/2023,11/16/2022,At Warehouse,Sea Freight,Oman,Muscat,Kuwait,Salmiya,1936.42,115.2466,88,4381.66,61562.2,6881.45,267.12,11530.23,9,0,MSC Arabian,EMP-00255,No,No
SHP-0002190,ORD-0002190,CUST-00953,TRK-275610998,7/28/2020,7/31/2020,8/4/2020,Delivered,Road Transport,UAE,Ajman,Kuwait,Jahra,10706.07,123.4341,2,23216.48,672836.21,6202.71,6185.52,35604.71,3,4,Agility Logistics,EMP-00085,No,Yes
SHP-0002191,ORD-0002191,CUST-01020,TRK-297238060,7/9/2024,7/12/2024,7/13/2024,Delivered,Air Freight,Oman,Nizwa,Oman,Sur,19601.92,1782.5506,59,282725.84,13427323.52,0,16273.83,298999.67,3,1,Desert Express Logistics,EMP-00079,No,No
SHP-0002192,ORD-0002192,CUST-00669,TRK-405800895,1/26/2025,2/1/2025,11/16/2022,In Transit,Road Transport,Bahrain,Hamad Town,Qatar,Al Rayyan,34275.85,444.136,32,137405.18,3733893.83,499291.89,12584.2,649281.27,6,0,GAC Logistics,EMP-00217,No,Yes
SHP-0002193,ORD-0002193,CUST-00171,TRK-985425389,2/19/2019,2/24/2019,2/22/2019,Delivered,Air Freight,Oman,Sohar,Oman,Sohar,47985.54,2048.6263,34,473449.23,18922154.07,0,37440.42,510889.65,5,0,Desert Express Logistics,EMP-00044,Yes,No
SHP-0002194,ORD-0002194,CUST-01386,TRK-505861551,12/28/2020,1/6/2021,1/7/2021,Delivered,Sea Freight,Qatar,Doha,Kuwait,Jahra,42219.58,3016.3168,81,50723.39,326496.76,8292.76,1216.4,60232.55,9,1,Red Sea Transport,EMP-00044,Yes,No
SHP-0002195,ORD-0002195,CUST-01144,TRK-868780597,3/12/2020,3/15/2020,3/17/2020,Delivered,Road Transport,Saudi Arabia,Mecca,Saudi Arabia,Taif,4724.14,395.2196,90,14239.35,457983.51,0,3267.97,17507.32,3,2,Middle East Freight Solutions,EMP-00119,No,No
SHP-0002196,ORD-0002196,CUST-01157,TRK-304492465,3/15/2025,3/21/2025,11/16/2022,Out for Delivery,Sea Freight,Bahrain,Isa Town,Bahrain,Muharraq,39012.31,1583.9504,83,50639.08,449973.91,0,2394.15,53033.23,6,0,CMA CGM Middle East,EMP-00044,No,Yes
SHP-0002197,ORD-0002197,CUST-00668,TRK-264118154,11/14/2023,11/17/2023,11/16/2022,Lost,Road Transport,Saudi Arabia,Mecca,Kuwait,Jahra,21882.47,199.9568,68,42923.62,48657.29,3513.51,77.45,46514.58,3,0,Agility Logistics,EMP-00267,Yes,Yes
SHP-0002198,ORD-0002198,CUST-00022,TRK-428264168,1/21/2025,1/28/2025,11/16/2022,In Transit,Air Freight,UAE,Ajman,Qatar,Al Wakrah,6528.52,537.1809,20,65488.17,588790.86,61584.09,5325.81,132398.07,7,0,Middle East Freight Solutions,EMP-00033,Yes,No
SHP-0002199,ORD-0002199,CUST-00371,TRK-441497389,3/25/2025,4/4/2025,4/3/2025,Delivered,Sea Freight,Bahrain,Riffa,Saudi Arabia,Dammam,49972.86,1718.7653,19,71310.72,2605023.61,252792.49,24515.45,348618.66,10,0,UPS Arabia,EMP-00198,Yes,No
SHP-0002200,ORD-0002200,CUST-00256,TRK-679965763,12/7/2020,12/12/2020,11/16/2022,Lost,Express Courier,UAE,Sharjah,Qatar,Al Khor,34927.55,1035.4353,7,466030.39,2382250.05,226918.32,21263.72,714212.43,5,0,Red Sea Transport,EMP-00119,Yes,Yes
